Feature,Stability,Gini,SHAP
PAG1,1.0,0.09209157135010222,0.050940623053098134
PRDX3,1.0,0.06390227827321328,0.036680008986169944
EIF4G1,1.0,0.04820293055568592,0.027539575148602224
METAP1D,1.0,0.050365862368525416,0.026954358156219847
PPP3R1,1.0,0.048307079880152495,0.023186633128384437
MAPT,1.0,0.03693192319402882,0.021963321082096414
CAMKK1,1.0,0.03513473762284276,0.020781667773214496
THOP1,1.0,0.036753927927040284,0.01836610670469855
APEX1,1.0,0.037743482631336166,0.01790615038818507
HDGF,1.0,0.02983969016623737,0.017391062361883182
FKBP4,1.0,0.03251686420134692,0.016367264241366666
ARHGEF12,1.0,0.03140532285500679,0.013605490658776424
ABL1,1.0,0.023242682873343006,0.01343587645432954
WASF1,1.0,0.02072436955215634,0.013276745569734422
ENO2,1.0,0.027918908328789117,0.012879024976402767
MetAP 2,1.0,0.027489658480771857,0.012683458542156004
HEXIM1,1.0,0.01926526103077631,0.01079877618126543
PARP-1,1.0,0.017392711213329082,0.009012130685281297
PFKM,1.0,0.014595150879024781,0.008801149954336436
SRP14,1.0,0.015016815183319637,0.008072794033510567
SRPK2,1.0,0.01706485067012833,0.007995766287851785
PFDN2,1.0,0.01990115932842371,0.007898096097614405
PSIP1,1.0,0.013719716627581941,0.00657198758916396
HMOX2,1.0,0.01794515027581622,0.006370190724994444
CRKL,1.0,0.020339286737541724,0.006110688948496169
SOD2,1.0,0.014872085321684705,0.0050865238902246986
PRDX5,1.0,0.007040196627280307,0.004590976968361542
CRADD,0.8,0.008390455668420957,0.00419563643858047
SRC,0.8,0.009311382351293562,0.0041068705693861635
PPP1R2,1.0,0.007717818946781277,0.0040980817526471095
PHOSPHO1,1.0,0.00713735399449428,0.003937771813765063
MAD1L1,1.0,0.0082763425570344,0.0038109405067910584
4E-BP1,1.0,0.0076980907200858584,0.0037469022963287648
IMPA1,1.0,0.007081065899206483,0.0036677917632591773
STAMBP,1.0,0.00880614991126432,0.0036588491290205265
RBKS,1.0,0.010158079606172401,0.0036407477759333776
GLRX,1.0,0.010109076438912946,0.003632339117330182
SCAMP3,1.0,0.007282676259644951,0.0033684316738283324
MAP2K6,1.0,0.007583506936959504,0.0028966784130835194
DDAH1,1.0,0.00957499396251196,0.0028710893453233743
WWP2,1.0,0.008248144459328774,0.002782806220051827
EIF4B,1.0,0.006507881185673091,0.002717380796500963
LYN,0.8,0.0051116558768331075,0.002655467148083764
MGMT,0.8,0.006254859944145915,0.0026472033385633318
GLO1,1.0,0.007198121701030414,0.0025397119647261484
DFFA,1.0,0.005862135446221531,0.002525167154472959
FOSB,1.0,0.00774163188892517,0.0022128919021905994
BAG6,0.6,0.006075641625115267,0.0016253961769088692
TBCB,1.0,0.004136690044142654,0.0014205241111238148
