fromNode	toNode	weight	direction	fromAltName	toAltName
ACE2	ADAM.8	0.00011462723343009	undirected	NA	NA
ACE2	ADAM-TS13	0.0048469003481286	undirected	NA	NA
ACE2	ADGRG2	6.31072442099003e-06	undirected	NA	NA
ACE2	AGR3	8.32130015861685e-06	undirected	NA	NA
ACE2	ALDH3A1	3.5983321142762e-07	undirected	NA	NA
ACE2	ANXA10	4.60482793103739e-07	undirected	NA	NA
ACE2	ANXA4	2.15094906586138e-06	undirected	NA	NA
ACE2	AOC1	1.99027823984614e-07	undirected	NA	NA
ACE2	APBB1IP	6.8582923677359e-06	undirected	NA	NA
ACE2	ARG1	6.54360280627525e-08	undirected	NA	NA
ACE2	ARHGAP1	6.61871727906967e-05	undirected	NA	NA
ACE2	ARNT	1.4209936959373e-05	undirected	NA	NA
ACE2	ARTN	2.00657300305908e-06	undirected	NA	NA
ACE2	ASGR1	1.88407359280045e-05	undirected	NA	NA
ACE2	ATG4A	9.46008937860419e-07	undirected	NA	NA
ACE2	ATP6AP2	4.36838500128485e-06	undirected	NA	NA
ACE2	ATP6V1F	1.10426043808947e-07	undirected	NA	NA
ACE2	AXIN1	7.04890681621398e-06	undirected	NA	NA
ACE2	BACH1	5.70805127450958e-06	undirected	NA	NA
ACE2	BCR	1.76118519337462e-05	undirected	NA	NA
ACE2	BIRC2	1.54193338036334e-05	undirected	NA	NA
ACE2	BNP	0.000314193097954472	undirected	NA	NA
ACE2	Beta-NGF	9.77274258529433e-05	undirected	NA	NA
ACE2	CA12	1.35609316626045e-06	undirected	NA	NA
ACE2	CA5A	6.94856461709728e-05	undirected	NA	NA
ACE2	CALCA	3.35173854552982e-05	undirected	NA	NA
ACE2	CARHSP1	1.46956340895236e-06	undirected	NA	NA
ACE2	CCL11	6.30384090689431e-05	undirected	NA	NA
ACE2	CCL17	3.20910644099593e-05	undirected	NA	NA
ACE2	CCL19	8.35988253394048e-05	undirected	NA	NA
ACE2	CCL20	3.199540086479e-05	undirected	NA	NA
ACE2	CCL27	4.10132481758887e-06	undirected	NA	NA
ACE2	CCL28	4.4719166737838e-05	undirected	NA	NA
ACE2	CD207	2.92616206060214e-07	undirected	NA	NA
ACE2	CD244	2.0171490367215e-05	undirected	NA	NA
ACE2	CD28	1.91773388371824e-05	undirected	NA	NA
ACE2	CD40-L	4.50177157323985e-05	undirected	NA	NA
ACE2	CD5	0.000178377768941389	undirected	NA	NA
ACE2	CD6	4.40419338435731e-05	undirected	NA	NA
ACE2	CD70	2.50981595161242e-06	undirected	NA	NA
