fromNode	toNode	weight	direction	fromAltName	toAltName
4E-BP1	AARSD1	0.0036661393208692	undirected	NA	NA
4E-BP1	ABHD14B	0.0143685228819131	undirected	NA	NA
4E-BP1	ABL1	0.127813767507124	undirected	NA	NA
4E-BP1	AHCY	0.0646559787253153	undirected	NA	NA
4E-BP1	AKT1S1	0.0306729333619861	undirected	NA	NA
4E-BP1	ALDH1A1	0.109831239354063	undirected	NA	NA
4E-BP1	ANXA11	0.0049531251648146	undirected	NA	NA
4E-BP1	APEX1	0.131589565014689	undirected	NA	NA
4E-BP1	ARHGEF12	0.164817267714097	undirected	NA	NA
4E-BP1	BAG6	0.100982770024948	undirected	NA	NA
4E-BP1	BGN	0.00337008612833013	undirected	NA	NA
4E-BP1	CA13	0.0892390640897466	undirected	NA	NA
4E-BP1	CAIX	0.0900963022426636	undirected	NA	NA
4E-BP1	CALR	0.00149774769017346	undirected	NA	NA
4E-BP1	CAMKK1	0.0809614307238415	undirected	NA	NA
4E-BP1	CAPG	0.0664848049936007	undirected	NA	NA
4E-BP1	CASP-8	0.039226209139618	undirected	NA	NA
4E-BP1	CBL	0.0341213788120842	undirected	NA	NA
4E-BP1	CCDC80	0.0653798593012919	undirected	NA	NA
4E-BP1	CCL23	0.0450420721806546	undirected	NA	NA
4E-BP1	CCL3	0.0632905710247869	undirected	NA	NA
4E-BP1	CCL4	0.0222798941026102	undirected	NA	NA
4E-BP1	CD2AP	0.0119914272189647	undirected	NA	NA
4E-BP1	CD40	0.0280220127188975	undirected	NA	NA
4E-BP1	CD63	0.0196594029705209	undirected	NA	NA
4E-BP1	CD84	0.0448349304094968	undirected	NA	NA
4E-BP1	CDKN1A	0.00273052074188824	undirected	NA	NA
4E-BP1	CETN2	0.00304450794804834	undirected	NA	NA
4E-BP1	CLEC5A	0.0517481474230476	undirected	NA	NA
4E-BP1	CLM-1	0.0158360663566087	undirected	NA	NA
4E-BP1	CLM-6	0.0226280733447322	undirected	NA	NA
4E-BP1	CRADD	0.111664048460099	undirected	NA	NA
4E-BP1	CRKL	0.240753590241911	undirected	NA	NA
4E-BP1	CXCL1	0.0091401242783181	undirected	NA	NA
4E-BP1	DCTN1	0.0541224763126283	undirected	NA	NA
4E-BP1	DCTN2	0.0113448134206723	undirected	NA	NA
4E-BP1	DDAH1	0.109610638949386	undirected	NA	NA
4E-BP1	DDC	0.0416199644425463	undirected	NA	NA
4E-BP1	DFFA	0.10212077092607	undirected	NA	NA
4E-BP1	DNAJB1	0.0652976590851351	undirected	NA	NA
4E-BP1	Dkk-4	0.0117428855016726	undirected	NA	NA
4E-BP1	EIF4B	0.133599478960589	undirected	NA	NA
4E-BP1	EIF4G1	0.12611870091348	undirected	NA	NA
4E-BP1	ENO2	0.109301960561911	undirected	NA	NA
4E-BP1	EZR	0.0412263787918465	undirected	NA	NA
4E-BP1	FBP1	0.00833819975523811	undirected	NA	NA
4E-BP1	FCAR	0.00685587991540011	undirected	NA	NA
4E-BP1	FHIT	0.0618967223810971	undirected	NA	NA
4E-BP1	FKBP4	0.203978391722414	undirected	NA	NA
4E-BP1	FKBP5	0.0598939539244317	undirected	NA	NA
4E-BP1	FOSB	0.131321790717036	undirected	NA	NA
4E-BP1	GCP5	0.0252283215001453	undirected	NA	NA
4E-BP1	GH	0.00365802002642238	undirected	NA	NA
4E-BP1	GLO1	0.153974788564653	undirected	NA	NA
4E-BP1	GLRX	0.0972795097132358	undirected	NA	NA
4E-BP1	GPNMB	0.0323705938430003	undirected	NA	NA
4E-BP1	GSTP1	0.0528097820436923	undirected	NA	NA
4E-BP1	Gal-9	0.0509808149443367	undirected	NA	NA
4E-BP1	HAGH	0.0743772174127316	undirected	NA	NA
4E-BP1	HDGF	0.158314597095875	undirected	NA	NA
4E-BP1	HEXIM1	0.152118866650037	undirected	NA	NA
4E-BP1	HMOX2	0.185907971133164	undirected	NA	NA
4E-BP1	HNMT	0.0306330396723249	undirected	NA	NA
4E-BP1	ICA1	0.0294614158519384	undirected	NA	NA
4E-BP1	IL-1ra	0.012656636351372	undirected	NA	NA
4E-BP1	IL18	0.0324005194537186	undirected	NA	NA
4E-BP1	IL8	0.0111914606891997	undirected	NA	NA
4E-BP1	ILKAP	0.0731336957034766	undirected	NA	NA
4E-BP1	IMPA1	0.0483774719603124	undirected	NA	NA
4E-BP1	ING1	0.0172589271595178	undirected	NA	NA
4E-BP1	JUN	0.00740247475734793	undirected	NA	NA
4E-BP1	KYNU	0.00655988352373861	undirected	NA	NA
4E-BP1	LILRA5	0.0214283278483132	undirected	NA	NA
4E-BP1	LILRB4	0.0460023052784746	undirected	NA	NA
4E-BP1	LOX-1	0.0649779557492182	undirected	NA	NA
4E-BP1	LTA4H	0.0340068959750676	undirected	NA	NA
4E-BP1	LYN	0.0820263357953296	undirected	NA	NA
4E-BP1	MAD1L1	0.124966173208348	undirected	NA	NA
4E-BP1	MAP2K6	0.103850831062192	undirected	NA	NA
4E-BP1	MAPT	0.122017889924332	undirected	NA	NA
4E-BP1	MCP-1	0.00794635678854151	undirected	NA	NA
4E-BP1	METAP1D	0.125620765237874	undirected	NA	NA
4E-BP1	MGMT	0.0997396896239831	undirected	NA	NA
4E-BP1	MILR1	0.0401897526542201	undirected	NA	NA
4E-BP1	MMP-10	0.0104968367760526	undirected	NA	NA
4E-BP1	MSR1	0.0293221114369297	undirected	NA	NA
4E-BP1	MetAP.2	0.206691222954209	undirected	NA	NA
4E-BP1	NAA10	0.00550739962782477	undirected	NA	NA
4E-BP1	NEFL	0.0753759800667114	undirected	NA	NA
4E-BP1	NFKBIE	0.0460780838269565	undirected	NA	NA
4E-BP1	NMNAT1	0.0068478645088446	undirected	NA	NA
4E-BP1	NPM1	0.00385311953965037	undirected	NA	NA
4E-BP1	NQO2	0.0396049390383223	undirected	NA	NA
4E-BP1	OPG	0.0117890467836005	undirected	NA	NA
4E-BP1	PAG1	0.218390862362664	undirected	NA	NA
4E-BP1	PARP-1	0.118045769420026	undirected	NA	NA
4E-BP1	PFDN2	0.099750436317809	undirected	NA	NA
4E-BP1	PFKM	0.0994436350756494	undirected	NA	NA
4E-BP1	PHOSPHO1	0.0926511434559136	undirected	NA	NA
4E-BP1	PIgR	0.0381942453446748	undirected	NA	NA
4E-BP1	PPP1R2	0.173873241691785	undirected	NA	NA
4E-BP1	PPP1R9B	0.0643093071032635	undirected	NA	NA
4E-BP1	PPP3R1	0.178450099125763	undirected	NA	NA
4E-BP1	PRDX1	0.0547964863575365	undirected	NA	NA
4E-BP1	PRDX3	0.102531204644743	undirected	NA	NA
4E-BP1	PRDX5	0.117151647034115	undirected	NA	NA
4E-BP1	PRDX6	0.0489668949137538	undirected	NA	NA
4E-BP1	PREB	0.0364974504370385	undirected	NA	NA
4E-BP1	PSIP1	0.129121249594472	undirected	NA	NA
