20	26	0.67641675
19	26	0.67641675
24	27	0.58445084
26	27	0.58445084
23	27	0.58445084
27	28	0.5438916
25	28	0.5438916
16	29	0.7562535
13	29	0.7562535
28	30	0.4834829
21	30	0.4834829
29	31	0.5299618
14	31	0.5299618
31	32	0.50742435
9	32	0.50742435
30	33	0.3805976
32	33	0.3805976
33	34	0.3506705
22	34	0.3506705
5	35	1.0177792
8	35	1.0177792
35	36	0.5088896
2	36	0.5088896
3	36	0.5088896
4	36	0.5088896
6	36	0.5088896
7	36	0.5088896
34	37	0.33305377
17	37	0.33305377
37	38	0.3179771
12	38	0.3179771
38	39	0.31113067
11	39	0.31113067
15	39	0.31113067
39	40	0.30445462
10	40	0.30445462
40	41	0.3043875
18	41	0.3043875
36	42	0.2855433
1	42	0.2855433
41	43	0.19296232
42	43	0.19296232
